x,y
177184.5,18
189320.4,17.9
254854.4,18.6
259708.7,18.4
300970.9,19.9
308252.4,19.7
371359.2,18.1
381068,18.2
439320.4,19.2
446601.9,19.4
485436.9,19.9
492718.4,19.7
524271.8,16
708737.9,17.5
830097.1,15.1
1235436.9,12.2
1334951.5,10.6
