curve.id,stressor.label,stressor.x,units.x,response.label,response.y,units.y,plot.type
c1,Cumulative degree days,1278.894472,C*d,Downstream migration probability,0.024916944,probability,scatter
c1,Cumulative degree days,1293.969849,C*d,Downstream migration probability,0.016611296,probability,scatter
c1,Cumulative degree days,1309.045226,C*d,Downstream migration probability,0.008305648,probability,scatter
c1,Cumulative degree days,1305.276382,C*d,Downstream migration probability,0.024916944,probability,scatter
c1,Cumulative degree days,1324.120603,C*d,Downstream migration probability,0.018272425,probability,scatter
c1,Cumulative degree days,1331.658291,C*d,Downstream migration probability,0.026578073,probability,scatter
c1,Cumulative degree days,1339.19598,C*d,Downstream migration probability,0.018272425,probability,scatter
c1,Cumulative degree days,1346.733668,C*d,Downstream migration probability,0.011627907,probability,scatter
c1,Cumulative degree days,1335.427136,C*d,Downstream migration probability,0.003322259,probability,scatter
c1,Cumulative degree days,1365.577889,C*d,Downstream migration probability,0.008305648,probability,scatter
c1,Cumulative degree days,1369.346734,C*d,Downstream migration probability,0.018272425,probability,scatter
c1,Cumulative degree days,1350.502513,C*d,Downstream migration probability,0.026578073,probability,scatter
c1,Cumulative degree days,1369.346734,C*d,Downstream migration probability,0.029900332,probability,scatter
c1,Cumulative degree days,1384.422111,C*d,Downstream migration probability,0.023255814,probability,scatter
c1,Cumulative degree days,1388.190955,C*d,Downstream migration probability,0.011627907,probability,scatter
c1,Cumulative degree days,1388.190955,C*d,Downstream migration probability,0.003322259,probability,scatter
c1,Cumulative degree days,1410.80402,C*d,Downstream migration probability,0.006644518,probability,scatter
c1,Cumulative degree days,1407.035176,C*d,Downstream migration probability,0.016611296,probability,scatter
c1,Cumulative degree days,1433.417085,C*d,Downstream migration probability,0.009966777,probability,scatter
c1,Cumulative degree days,1433.417085,C*d,Downstream migration probability,0.021594684,probability,scatter
c1,Cumulative degree days,1414.572864,C*d,Downstream migration probability,0.028239203,probability,scatter
c1,Cumulative degree days,1410.80402,C*d,Downstream migration probability,0.03654485,probability,scatter
c1,Cumulative degree days,1388.190955,C*d,Downstream migration probability,0.031561462,probability,scatter
c1,Cumulative degree days,1376.884422,C*d,Downstream migration probability,0.041528239,probability,scatter
c1,Cumulative degree days,1346.733668,C*d,Downstream migration probability,0.03654485,probability,scatter
c1,Cumulative degree days,1312.81407,C*d,Downstream migration probability,0.03986711,probability,scatter
c1,Cumulative degree days,1309.045226,C*d,Downstream migration probability,0.063122924,probability,scatter
c1,Cumulative degree days,1365.577889,C*d,Downstream migration probability,0.066445183,probability,scatter
c1,Cumulative degree days,1380.653266,C*d,Downstream migration probability,0.064784053,probability,scatter
c1,Cumulative degree days,1354.271357,C*d,Downstream migration probability,0.184385382,probability,scatter
c1,Cumulative degree days,1418.341709,C*d,Downstream migration probability,0.146179402,probability,scatter
c1,Cumulative degree days,1433.417085,C*d,Downstream migration probability,0.03654485,probability,scatter
c1,Cumulative degree days,1429.648241,C*d,Downstream migration probability,0.048172757,probability,scatter
c1,Cumulative degree days,1456.030151,C*d,Downstream migration probability,0.053156146,probability,scatter
c1,Cumulative degree days,1459.798995,C*d,Downstream migration probability,0.034883721,probability,scatter
c1,Cumulative degree days,1471.105528,C*d,Downstream migration probability,0.041528239,probability,scatter
c1,Cumulative degree days,1478.643216,C*d,Downstream migration probability,0.024916944,probability,scatter
c1,Cumulative degree days,1489.949749,C*d,Downstream migration probability,0.031561462,probability,scatter
c1,Cumulative degree days,1497.487437,C*d,Downstream migration probability,0.03820598,probability,scatter
c1,Cumulative degree days,1520.100503,C*d,Downstream migration probability,0.046511628,probability,scatter
c1,Cumulative degree days,1508.79397,C*d,Downstream migration probability,0.009966777,probability,scatter
c1,Cumulative degree days,1557.788945,C*d,Downstream migration probability,0.059800664,probability,scatter
c1,Cumulative degree days,1520.100503,C*d,Downstream migration probability,0.069767442,probability,scatter
c1,Cumulative degree days,1448.492462,C*d,Downstream migration probability,0.07641196,probability,scatter
c1,Cumulative degree days,1474.874372,C*d,Downstream migration probability,0.081395349,probability,scatter
c1,Cumulative degree days,1459.798995,C*d,Downstream migration probability,0.098006645,probability,scatter
c1,Cumulative degree days,1554.020101,C*d,Downstream migration probability,0.07807309,probability,scatter
c1,Cumulative degree days,1542.713568,C*d,Downstream migration probability,0.107973422,probability,scatter
c1,Cumulative degree days,1557.788945,C*d,Downstream migration probability,0.112956811,probability,scatter
c1,Cumulative degree days,1572.864322,C*d,Downstream migration probability,0.104651163,probability,scatter
c1,Cumulative degree days,1603.015075,C*d,Downstream migration probability,0.074750831,probability,scatter
c1,Cumulative degree days,1603.015075,C*d,Downstream migration probability,0.084717608,probability,scatter
c1,Cumulative degree days,1625.628141,C*d,Downstream migration probability,0.083056478,probability,scatter
c1,Cumulative degree days,1625.628141,C*d,Downstream migration probability,0.073089701,probability,scatter
c1,Cumulative degree days,1644.472362,C*d,Downstream migration probability,0.063122924,probability,scatter
c1,Cumulative degree days,1489.949749,C*d,Downstream migration probability,0.15448505,probability,scatter
c1,Cumulative degree days,1538.944724,C*d,Downstream migration probability,0.15448505,probability,scatter
c1,Cumulative degree days,1580.40201,C*d,Downstream migration probability,0.142857143,probability,scatter
c1,Cumulative degree days,1584.170854,C*d,Downstream migration probability,0.132890365,probability,scatter
c1,Cumulative degree days,1610.552764,C*d,Downstream migration probability,0.131229236,probability,scatter
c1,Cumulative degree days,1633.165829,C*d,Downstream migration probability,0.147840532,probability,scatter
c1,Cumulative degree days,1557.788945,C*d,Downstream migration probability,0.204318937,probability,scatter
c1,Cumulative degree days,1652.01005,C*d,Downstream migration probability,0.111295681,probability,scatter
c1,Cumulative degree days,1674.623116,C*d,Downstream migration probability,0.117940199,probability,scatter
c1,Cumulative degree days,1708.542714,C*d,Downstream migration probability,0.091362126,probability,scatter
c1,Cumulative degree days,1742.462312,C*d,Downstream migration probability,0.061461794,probability,scatter
c1,Cumulative degree days,1832.914573,C*d,Downstream migration probability,0.009966777,probability,scatter
