x,y
19438.78,13.78
26938.78,14.36
31836.73,17.18
32448.98,16.51
39183.67,13.94
47755.1,15.52
51122.45,16.68
55408.16,10.46
72857.14,12.86
75612.24,13.03
87551.02,8.8
132244.9,3.73
142193.88,1
